year,Bladder cancer,Brain and central nervous system cancer,Breast cancer,Cervical cancer,Colon and rectum cancer,Esophageal cancer,Gallbladder and biliary tract cancer,Kidney cancer,Larynx cancer,Leukemia,Lip and oral cavity cancer,Liver cancer,Nasopharynx cancer,Other pharynx cancer,Ovarian cancer,Pancreatic cancer,Prostate cancer,Stomach cancer,Testicular cancer,Thyroid cancer,"Tracheal, bronchus, and lung cancer",Uterine cancer
1990,121499.5316,139632.3105,380905.198,184527.0783,518126.1154,319331.6213,94855.06403,72099.9062,87458.56221,263262.9292,96627.52703,365214.9502,53458.81184,51459.58612,97363.29863,198050.9114,232998.8874,788316.9583,7224.173429,22966.3778,1065138.985,56129.95932
1991,124162.1074,142244.4089,388876.1798,185386.2324,529698.5214,327023.3489,96277.35718,74403.89141,88942.14935,265138.7167,98833.89603,382763.7277,54291.49023,52783.09739,99351.84577,204105.5747,239667.4204,791060.7467,7249.378227,23427.07135,1088143.475,56790.02635
1992,127011.0423,144946.78,398279.0813,188199.5583,543016.7209,334099.1314,97868.11005,77063.30291,90438.04749,267134.8944,101317.0845,399662.4795,54839.68165,54209.26683,101584.5141,210631.854,246716.6292,796404.1023,7293.82264,24000.31291,1113920.305,57735.05455
1993,130717.7079,148271.6962,411583.6979,190590.0181,562393.3717,342837.3146,99796.18703,80476.74434,92948.6243,269757.5534,104920.3894,417328.7409,55436.01878,56111.10193,104014.9035,219882.9707,254461.6097,808119.3215,7356.008703,24656.65569,1151283.347,59403.34309
1994,133679.333,151631.1553,421888.712,193347.3985,575486.6922,348242.3011,101199.2059,83172.65825,94573.15672,272764.3886,108119.6031,435088.0965,55810.98869,57745.24698,106456.9129,226459.0813,261575.9999,810666.8896,7466.506618,25239.44036,1176757.549,60506.69118
1995,136210.2331,154702.869,429654.0576,194700.5299,586928.5595,354022.1458,102228.2703,85146.98735,94800.68999,275232.9973,110271.902,450533.7321,56318.51078,58763.74613,109946.8474,231926.8093,268557.5861,808881.0996,7579.589234,25739.26085,1200039.254,60892.63458
1996,138231.1712,157873.7325,436386.4707,196945.9896,596397.8674,360699.5991,103528.878,86719.03957,94981.50579,276053.6212,112548.0301,462869.1852,56686.94393,60464.2596,111978.5582,236797.4145,275590.3287,805369.3268,7692.797862,26205.49151,1215380.784,61614.29138
1997,140238.6186,161359.6279,443626.1598,200178.352,607453.4559,368197.377,105429.6583,88605.14196,95634.06302,277565.1239,115645.8425,469866.5906,57304.78963,62736.16667,114323.3591,242476.6617,282167.8675,804886.0134,7793.860369,26754.01613,1231496.129,62504.40456
1998,142635.8295,164827.4038,451134.5758,202315.2402,622441.6219,377419.5194,107591.6773,91039.22755,95591.605,280051.3508,117824.392,476714.1966,58093.14762,64241.6067,116616.2479,249712.9505,289152.8698,811537.4349,7894.777987,27348.04423,1254538.384,63588.87136
1999,145770.942,168723.8505,461703.9377,205591.9492,643453.6204,389814.996,110442.6486,94024.47759,95787.65128,283006.6196,120196.088,480253.1746,58743.28334,65494.30453,119116.7872,258952.6904,295780.9217,827849.4384,8033.032789,28006.02519,1287809.473,65407.8766
